Rang,Joueur,Poste,Age,Valeur,Buts_2021,Passes_2021,Minutes_2021,Buts_2022,Passes_2022,Minutes_2022,Buts_total,Passes_total,Minutes_total
479,Álvaro Rodríguez,Avant-Centre,19,6.0,4,4,783,8,3,2259,12,7,3042
480,Karim Konaté,Avant-Centre,19,6.0,10,0,1068,24,6,2199,39,8,3600
481,Abdallah Sima,Ailier Droit,22,6.0,4,1,764,6,2,2045,31,11,5722
482,Wilson Odobert,Ailier Droit,18,6.0,3,0,310,4,2,1764,7,2,2074
483,Badredine Bouanani,Ailier Droit,18,6.0,2,4,658,4,4,1324,6,8,1982
484,Luis Henrique,Ailier Gauche,21,6.0,1,1,1112,5,3,1805,8,14,5492
485,Facundo Pellistri,Ailier Droit,21,6.0,0,0,751,0,1,280,5,6,4664
486,Ander Barrenetxea,Ailier Gauche,21,6.0,1,2,745,3,1,927,12,6,5065
487,Mohamed Bayo,Avant-Centre,25,6.0,14,5,2422,5,1,757,59,19,9265
488,Ayase Ueda,Avant-Centre,24,6.0,14,2,1655,23,2,3340,70,7,9037
489,Lázaro,Ailier Gauche,21,6.0,8,8,1753,6,0,764,14,9,2966
490,Mohamed Daramy,Ailier Gauche,21,6.0,8,11,1872,9,7,3061,49,27,11533
491,Nico Melamed,Ailier Gauche,22,6.0,1,1,1196,3,3,1527,19,8,7546
492,Carlos Vinícius,Avant-Centre,28,6.0,7,7,1512,5,3,1375,82,35,11848
493,Largie Ramazani,Ailier Gauche,22,6.0,9,1,2166,3,2,1484,32,15,8152
494,Enzo Copetti,Avant-Centre,27,6.0,21,6,3580,5,1,1496,42,11,12530
495,Michel-Ange Balikwisha,Ailier Gauche,22,6.0,5,5,2486,10,1,2963,25,12,8436
496,Wilson Isidor,Avant-Centre,22,6.0,8,2,1478,10,5,1436,44,11,7925
497,Sorba Thomas,Ailier Droit,24,6.0,3,16,4123,0,8,2850,11,29,13030
498,Jacob Brown,Avant-Centre,25,6.0,14,5,3581,9,2,3070,42,24,16265
499,Casper Tengstedt,Avant-Centre,23,6.0,30,15,3158,0,1,511,73,31,9203
500,Mostafa Mohamed,Avant-Centre,25,6.0,8,5,1598,11,5,2952,70,20,14530
